author,comment,published_at,likes,type
@saksham9170,"Hey, I've been practicing for two months now and I can definitely say that my level has improved! My friend just gave me ctci and I could solve almost every question in it. There's only one way and that is solve problems.",2020-09-28T12:57:41Z,5,Main Comment
@ahmadx4203,"if you are stuck at any problem for about 40 minutes you should watch the tutorial again and when you find something new which you didn't apply or you should've applied instead of some other technique, you go and try it and fix some issues and if still you are not getting the solution to that whole problem watch the tutorial again until you do. And this is only for beginners or like intermediate coders/problem solvers, not for experts or Masters, Experts/Highly skilled coders can take another hour or two to solve the problem on their on. The best tip i ever had. And honestly i am already doing it but sometimes i think of it as theft with my studies. So, You made it clear for me. Thanks",2020-09-28T12:15:33Z,0,Main Comment
@xa_if,"Your tips really help me, thanks mate.",2020-09-28T04:39:18Z,0,Main Comment
@rockisrealmusic5338,"I'm a beginner and just started to learn Python and plan to learn more like Java, js, html and Css. Can anyone suggest me some good books to read on these languages or programming in general ?",2020-09-27T11:14:40Z,0,Main Comment
@Voando44S,Ensinar a cria mod hacker menu para o free fire,2020-09-25T00:52:39Z,0,Main Comment
@TheHardikupadhyay87,you vs Tourist is like CR7 vs Messi,2020-09-22T19:05:20Z,0,Main Comment
@infinitycodes1588,Thanks man,2020-09-21T13:05:32Z,0,Main Comment
@amitlevy834,Which website has problems with editorials? I can't find any on Codeforces.,2020-09-15T09:13:54Z,0,Main Comment
@piotrkozakowski3367,"Maybe you are never joking... But I'm pretty sure you sometimes lie. Which means that the statement ""I'm never joking"" could also be a lie.",2020-09-12T09:58:47Z,0,Main Comment
@42Siren,Did anybody notice that he suggested a DFS based approach of study while using DFS for studying as an example ?,2020-09-08T04:38:11Z,0,Main Comment
@Errichto,:o,2020-09-09T12:38:06Z,0,Reply
@paramitamallik9693,Plz suggest books on c++.,2020-09-07T05:42:24Z,0,Main Comment
@priyaraj4735,I am doing competitive programming 3 by Steven halim and solving questions on uva online judge but it's quite frustrating and there are no editorials it's quite frustrating. Please help,2020-09-05T14:33:01Z,0,Main Comment
@Errichto,Then do problems from CF,2020-09-09T12:42:07Z,1,Reply
@abhirajmodhave1499,I want your brain.,2020-09-02T15:56:38Z,0,Main Comment
@senatorpoopypants7182,"No I did not think it was over, you know YouTube has a progress bar right? Anyway I've been doing this for a couple days now and I noticed the questions aren't I feel like completely unambiguous. Maybe it's just how these competitive coding problems are written, maybe I'm not interpreting the questions in a specific way known only too accomplished veterans or promising prodigies or somethin I really dk. Maybe somebody got some tips on that I had kinda the same problem on spoj but I don't think it's a problem on gcj or Kickstart for me",2020-09-01T00:22:20Z,0,Main Comment
@mariajahan639,Can u plez make a video for the beginners😄😄😄,2020-08-31T20:43:03Z,0,Main Comment
@defaultprofile8417,Im hardstuck at 800 rating bc im too lazy to learn all cpp stls lol.,2020-08-31T08:29:50Z,0,Main Comment
@meegz149,"00:32 I laughed out loud, really. That's why I spelled it out :P",2020-08-29T03:49:26Z,1,Main Comment
@larknoone565,"I don't think all people can reach red. There are clear mental differences that make reaching red for any one is completely impossible.
Also, solving problem should not be random. so, It's better if you follow some path or curricula.",2020-08-27T09:45:36Z,0,Main Comment
@timurkarimov9799,"I believe this one with 20-30mins of trying and then go check the editorial is the most important one. It seems to me that many people have this problem sitting on the same problem hours/days, the same by me... Thanks for video!",2020-08-24T17:46:31Z,58,Main Comment
@BikramSarkar-f3b,I should not do that?,2025-02-28T09:17:28Z,0,Reply
@ArbitCode,"1 practice
2 Choose problem have editorial 
3 slightly above your zone
4 solve problem alot
5 after 30 minutes read tutorial",2020-08-24T02:56:11Z,2,Main Comment
@kitgary,I am curious if a competitive programmer have time for dating and enjoy social life as it takes so much time to improve programming and algorithm skills.,2020-08-22T13:04:12Z,1,Main Comment
@arnavsingh9091,yes they have time for dating too😂,2020-10-26T10:45:37Z,0,Reply
@narendrakumariitb,One thing you must know that I am never joking 🤣,2020-08-21T12:03:56Z,0,Main Comment
@databasedscience5182,"Thanks a lot for this,I watched this video the same day when it came out but I forgot about it.4 months later i happened to start doing codeforces and I had this very same experience happen to me where i couldn't solve this greedy problem,so i looked over at the editorials, and then i aced the next greedy problem without looking and it was better than the solution I saw later in the editiorial.Feels like a hack.",2020-08-21T09:57:17Z,0,Main Comment
@manasshukla2002,Nice one,2020-08-19T18:21:15Z,0,Main Comment
@ramram99111,Hai bro could you please provide your mail Id,2020-08-19T00:40:44Z,0,Main Comment
@shifanpazheri5614,All are good,2020-08-18T14:57:23Z,0,Main Comment
@MasterMurray3,😂😂😂,2020-08-15T16:13:31Z,0,Main Comment
@valeriobelenkov3029,"What should I do if i get an error that doesn't have an explanation as to how to solve it(such as runtime test error on test n, wrong answer on test n) even though the program works on my text editor, it doesn't get accepted and i don't know what to do about it...",2020-08-13T21:12:44Z,0,Main Comment
@justsomerandomdude2415,I already have a lot of life problems why would i dare to solve a lot more problems hahaha just kidding,2020-08-13T14:01:22Z,0,Main Comment
@黎銘-s9n,"Thanks man, I find a mountain to climb.",2020-08-13T08:11:09Z,0,Main Comment
@FitnessChaos,Good video,2020-08-13T06:02:29Z,0,Main Comment
@octo4647,1: you are either natural or you are not :) SIMPLE AS THAT,2020-08-12T14:35:27Z,0,Main Comment
@omerirmak8459,"I studied in Poland for 2 years and I don't know why but I love this people, Greetings from Turkey my man",2020-08-12T11:46:19Z,5,Main Comment
@Zynquor,Greetings from Poland,2025-11-28T20:21:26Z,0,Reply
@inception252,it makes more sense that u need CS course first,2020-08-12T03:51:26Z,0,Main Comment
@sharpesttoolintheshed492,The way he talks makes me feel inside a Discord programming server that is actually a weeb hideout,2020-08-11T19:08:05Z,0,Main Comment
@de_vamp,"https://youtu.be/hx20w2Gd3_8?t=335 
I see what you did there Errichto..",2020-08-11T12:36:49Z,0,Main Comment
@maangooo8502,What even is a red coder,2020-08-10T20:19:39Z,0,Main Comment
@Aliulhaqzia,Thank you sir love from Pakistan ❤️..,2020-08-10T02:46:33Z,0,Main Comment
@tawfeeq00,Thank god you aren't my boss,2020-08-05T15:58:06Z,0,Main Comment
@random-0,I accidentally pressed 9 before starting the video and then I was like where are the tips 🤣🤣,2020-08-04T10:15:46Z,0,Main Comment
@navalkumarshukla9447,I think the tip of not wasting too much time on a problem is going to be quite helpful for me. Thanks for sharing your experience with us.,2020-08-04T10:14:05Z,3,Main Comment
@kakashisenpai99,What if I've a slower brain ? Looking for tips to upgrade it.,2020-08-04T08:18:29Z,1,Main Comment
@treyquattro,LOL. Excellent advice (obviously),2020-07-31T23:22:09Z,0,Main Comment
@AJ-jf5do,What the fucj,2020-07-29T09:46:33Z,0,Main Comment
@DreaMagnifier,is this rated question,2020-07-28T04:16:46Z,0,Main Comment
@6014240,How do you find the problems that have an Editorial on Codeforces?,2020-07-27T15:58:29Z,2,Main Comment
@abjkgp,Is that Limak on your Tshirt?,2020-07-20T15:32:09Z,0,Main Comment
@davematthews4893,how to not be so pale. leave one's room & get some sun,2020-07-20T11:48:55Z,0,Main Comment
@pirozamin,"it was quite helpful ,i offer some motivations to community as well.
chk",2020-07-16T17:20:49Z,0,Main Comment
@smaug9833,"Nothing's more frustrating than reading, ""time limit exceeded on test 98"" or something.",2020-07-13T15:09:33Z,89,Main Comment
@qts,"Not time limit, rather ""wrong answer""",2024-11-12T21:49:19Z,2,Reply
@smaug9833,"@qts  well, slow solutions are wrong answers.",2024-11-13T08:09:27Z,1,Reply
@fardeenrahman3845,if you stuck then after 20 - 30 min go back to the editorial. I like the tip very much.,2020-07-11T08:35:22Z,0,Main Comment
@nostalgia8357,I already gave up cuz im so dumb when it comes to math,2020-07-09T09:23:06Z,0,Main Comment
@RohanPatel-xh2lc,"I needed someone to tell me that I shouldn't waste hours and hours on the same problem if I'm stuck with the logic...
ps: I'm a beginner.",2020-07-09T04:09:13Z,0,Main Comment
@MrArmas555,++,2020-07-05T15:46:33Z,0,Main Comment
@mayukhchanda5805,4.07 he laughed because he was joking...🙁.. that hurts,2020-06-29T10:22:02Z,0,Main Comment
@arunnegi9505,bhai itne chutiye nahi hai ki tu bolega or hum samjhenge ki video khatam bha video mai time dikhta hai,2020-06-28T15:47:15Z,0,Main Comment
@ritishlonda3623,Is it rated?,2020-06-25T18:42:58Z,0,Main Comment
@akshaykamathb2788,"1. Practice, lot lot of problems.
2. choose ur problems slightly above ur comfort zone. 
3. wn ur stuck for a long ( 30min), look @ the editorial.",2020-06-23T22:36:41Z,1,Main Comment
@TechManAkhil,hey @Errichto can you explain leetcode problem no.1489,2020-06-23T13:49:46Z,0,Main Comment
@AMP1987-h4c,"He is right it all comes down to practice and more practice. There is no magical overnight formula to become a red coder on any platform.

Constant coding and tinkering to get better overtime.",2020-06-22T00:49:17Z,10,Main Comment
@dreeew8296,Great advices thank you,2020-06-20T07:11:30Z,0,Main Comment
@Rahul-bl6rv,Practice,2020-06-20T06:25:09Z,1,Main Comment
@nishanthmolleti188,"If I qualify for ACM icpc world finals do they pay for my tickets , hotel , food ,etc or is that on me ?",2020-06-18T01:33:48Z,0,Main Comment
@completemadlad15,WEll watched it 2wice to make sure that thumbnail didn't matched the video!,2020-06-14T19:41:05Z,0,Main Comment
@ayanjain3106,Which company T-shirt are u wearing?,2020-06-09T15:59:20Z,0,Main Comment
@szczequspospolitus,Are you a polish wearing this t-shirt?,2020-06-08T18:58:58Z,1,Main Comment
@snippletrap,Yes he is,2020-08-15T22:04:44Z,0,Reply
@nikitosia,I now it. Practice!,2020-06-08T14:54:33Z,0,Main Comment
@ИльХабиб,Щербаков?,2020-06-04T13:20:00Z,0,Main Comment
@lepord833,is Edward Snowden your sibling ??,2020-06-03T16:28:27Z,0,Main Comment
@kakashisenpai99,Errichto - Lord  of Programming,2020-05-31T15:25:35Z,0,Main Comment
@anything_jara_hatke5237,Very nice tips sir. Thanks a lot.,2020-05-28T20:57:03Z,0,Main Comment
@brajnold,"Pozdrowionka 
Errichto :3",2020-05-27T14:13:33Z,0,Main Comment
@ahmadjawidmuhammadi9296,"Dear Errichto, you are just AMAZIIIIIING!!! Thank you so much for all these videos.",2020-05-26T09:29:15Z,1,Main Comment
@ryzen980,Can you suggest websites where we can make money in coding contests on online.,2020-05-23T08:25:37Z,0,Main Comment
@amitroy7378,Amazing tips.. Really helpful..,2020-05-20T10:10:13Z,0,Main Comment
@eknoor292,Cute teddy,2020-05-19T10:18:33Z,0,Main Comment
@Bargains20xx,"this guy i love tanya has been on my head for a very long time, i see him everywhere hackerrank codeforces",2020-05-18T17:20:44Z,3,Main Comment
@mailoisback,What c++ book do you recommend?,2020-05-18T10:15:31Z,0,Main Comment
@anubhavsrivastava2759,"At 4:04 ""R u mocking at us""? 😂😂",2020-05-17T20:40:40Z,4,Main Comment
@anubhavsrivastava2759,Really enjoyed the video.,2020-05-17T20:38:12Z,0,Main Comment
@0xmehr4b,"Hi @Errichto I'm Not good at math and never i was.started learning C programming 5 months ago.planning to done C++ and then starting competitive programming.so, my question is if i'm not good at math so can i be a good programmer or problem solver ???",2020-05-17T14:55:51Z,0,Main Comment
@maks029,"Nice video, but how do I exactly choose the problems that are a bit above my level? I'm not sure because I have cs major, but self-evaluation lacks a bit.",2020-05-17T10:13:30Z,1,Main Comment
@abhijeetnarang1791,"Errichto - ""One think you must know about me is I never joke"".
Your girlfriend is so lucky dude.",2020-05-16T20:20:36Z,0,Main Comment
@anshusharma1983,Love the editing on the video !!,2020-05-15T16:35:46Z,0,Main Comment
@yeilmusic,i dont know english. If codeforce enters different languages like spanish it should be great. I am solving the problems with intuition.,2020-05-13T05:03:53Z,1,Main Comment
@leonardoartilesmontero5543,"A ""techniques in contests"" video would be helpful. I mean what to do if you get stuck on a problem, or how to attack problems.",2020-05-12T22:47:44Z,3,Main Comment
@eddyecko94,Thanks,2020-05-11T14:02:06Z,0,Main Comment
@rahullather628,Competitive Programming on Instagram.  Follow http://www.instagram.com/competitive_coding_,2020-05-10T15:09:20Z,0,Main Comment
@sahilkaushik6856,"Hello, I am Sahil from India. I am a pre final year student in NSIT , New Delhi , India.
These days i am a bit stressed because of stuck at home and now not able to focus on Competitive Programming. I had already solved about 80-90 problems on Leetcode but still unable to slove questions on codeforces or codechef. The question solved on leetcode by me are mostly medium level and very few of them are hard also. So could you please help me .
will You be my mentor.",2020-05-09T18:48:50Z,0,Main Comment
@sahilkaushik6856,"Hello, I am Sahil from India. I am a pre final year student in NSIT , New Delhi , India.
These days i am a bit stressed because of stuck at home and now not able to focus on Competitive Programming. I had already solved about 80-90 problems on Leetcode but still unable to slove questions on codeforces or codechef. The question solved on leetcode by me are mostly medium level and very few of them are hard also. So could you please help me .
will You be my mentor.",2020-05-09T18:48:39Z,4,Main Comment
@abdullahbukhari1489,Hi Errichto can we gain rating points by solving past contest questions I'm busy around the time we have live competitions,2020-05-09T05:18:00Z,1,Main Comment
@fytubevw,"Problem-solving is real fun. I think algorithm theory per se already picks the mind, but doing stuff is what really improves the grit of programming.",2020-05-08T16:59:45Z,29,Main Comment
@amitgupta071,1.wake-up ------->2.code------->3.sleep.....(repeat from 1 again and again),2020-05-06T17:54:15Z,0,Main Comment
@hapysethi1306,Bilkul sahi keh rahe ho bhaiya ji,2020-05-05T19:28:20Z,0,Main Comment
@LAGsubham,What is the best source to learn data structure and algorithms,2020-05-02T08:38:28Z,0,Main Comment
@AnandPandeyHere,https://youtu.be/uPwjKC6cGF4,2020-05-05T19:26:59Z,0,Reply
@raihanmdsiqbal9097,Hey Errichto man please start even basic tutorials and basic div 3 div 2 and div1 problems so that many people can gain your knowledge and you may help out many people,2020-05-01T00:28:44Z,0,Main Comment
@jenilpatel506,"Practice Practice Practice
Practice + Patience = Succeess",2020-04-30T13:57:52Z,0,Main Comment
@Wjhebdheieiehv,koncowka fajna =D,2020-04-29T18:17:01Z,0,Main Comment
@lumigg2556,hahah 😂😂,2020-04-29T06:10:56Z,0,Main Comment
@lfranciscohs,My favorite advice was: Practice (Y),2020-04-26T05:33:55Z,0,Main Comment
@Y-jako,Do u use c++ 14 or 17?,2020-04-25T03:50:33Z,0,Main Comment
@bhushangurnule3231,I solve problems in google Kick-start but most of time I get Runtime error can you tell me what  is the most common mistake that coses Runtime exception,2020-04-24T08:27:23Z,0,Main Comment
@szymonsliwa8384,"I don't think a few hundred problems is enough to become red on codeforces, unless you are very talented.
Or maybe I just fool myself saying that, and you need to be dumb to solve hundreds of problems and still not have a decent rating. :(",2020-04-23T16:58:03Z,0,Main Comment
@aayush5474,How do i improve my recursion skills i am weak in recursion,2020-04-23T08:59:43Z,0,Main Comment
@bparanj,Checkout my mastering recursion video series: https://www.youtube.com/watch?v=aFvY_aZPmqk&t=7s,2020-05-07T05:20:12Z,0,Reply
@matheusdallrosa4698,Tip number 0: Learn how to deal well with frustration.,2020-04-22T00:43:54Z,1464,Main Comment
@hd3adpool,Someone give this man a medal.,2020-08-18T16:50:01Z,54,Reply
@saksham9170,That's it,2020-09-28T12:58:55Z,9,Reply
@mrfrozen97-despicable,Keep a sponge ball. Use it,2021-01-02T18:12:12Z,17,Reply
@camilotello3296,Golden tip.,2021-10-10T00:15:49Z,3,Reply
@DaevorTheDevoted,"I'm at this step right now, lol.",2021-10-19T10:29:21Z,7,Reply
@pratiksubhedar5960,Coders,2020-04-21T14:10:39Z,0,Main Comment
@Laeyz,"Are you really that short, or am i just trippin?",2020-04-21T13:48:38Z,0,Main Comment
@masudrana192,i just love this guy😁,2020-04-19T07:16:46Z,0,Main Comment
@hrushikeshkale68,Coders have nasty jokes,2020-04-18T17:07:14Z,0,Main Comment
@najisheqbal7006,how do use arrow keys so fast while typing my typing speed is 50 but i am not able to type arrow keys so faast what should do ??,2020-04-18T00:29:08Z,0,Main Comment
@aniketsaxena6691,How do I practice? How do I choose problems while practicing. And how many problems should I aim to solve in a day.,2020-04-17T14:21:26Z,0,Main Comment
@bparanj,Deliberate practice is the best way to practice: https://www.codingskill.net/2020/02/06/deliberate-practice.html,2020-05-07T05:35:07Z,0,Reply
@alfabinomial6183,i really enjoyed the class !! :D,2020-04-17T07:19:12Z,0,Main Comment
@gunwiththewind,"#1 Born as Russian, Indian, or Chinese.",2020-04-16T23:42:51Z,0,Main Comment
@ataharislamshihab9640,Thanks For Your Tips....,2020-04-15T13:09:33Z,0,Main Comment
@shubhankartripathi4840,hi sir one curious que which path is best suited for practice picking up contest and doing all of it or picking up particular rating and do it??,2020-04-15T08:17:10Z,0,Main Comment
@yahia1355,"0:24 
Error : ArrayOutOfIndex",2020-04-14T21:00:19Z,2,Main Comment
@ramakanthtandle6289,"This one video is enough how to be a good problem solver, short video, simple and really amazing.
One suggestion I really liked i.e. first choose a problem which is slightly higher than your ability which should not be too easy or hard.",2020-04-14T17:37:56Z,0,Main Comment
@AnandPandeyHere,https://youtu.be/uPwjKC6cGF4,2020-05-05T19:27:34Z,0,Reply
@thecallertotruth1121,Love you  and thanks a lot for inspiration,2020-04-14T16:47:37Z,0,Main Comment
@RajeevKumar-xz4xm,"@Errichto Why don't you create a playlist of below mentioned videos for beginners in CP. It'll more accessible then. 
https://www.youtube.com/watch?v=xAeiXy8-9Y8
https://www.youtube.com/watch?v=cpguolx2oms
https://www.youtube.com/watch?v=y7169jEvb-Y",2020-04-14T06:46:56Z,0,Main Comment
@nikhilranjankumar4151,Where's the book😂,2020-04-14T02:19:01Z,0,Main Comment
@Szymn,Widzę że z polski,2020-04-13T21:48:32Z,0,Main Comment
@rpggoblin,proszę państwa...!,2020-04-13T20:10:36Z,0,Main Comment
@codebros9346,what is the book name?,2020-04-13T17:02:55Z,0,Main Comment
@AbhishekTiwari-xt1kt,You f**k the videos over I laughed so hard,2020-04-13T11:31:42Z,1,Main Comment
@rupjitchakraborty8012,Thank you. That was helpful,2020-04-12T10:57:43Z,0,Main Comment
@suyashtrivedi6245,"For algorithmic problems, like Greedy, DP, etc, do red coders like you always prove theoretically that the algorithm will always give optimal solution on paper before coding or just code it assuming that its correct?",2020-04-12T06:35:10Z,9,Main Comment
@darkbolt333,"I think they do neither of those. For DP and greedy algorithms, it's often about experience (experience doesn't imply remembering things blindly) or having a sudden revelation. There's no time in competition to prove something is right, nor do they just assume something is right, but they know it's right. 

I'm not a red coder, but I have been in a national on-site competition. I often write on paper could a DP solution work. If it works, then recursively it works for everything. I don't prove it, I know it works.",2020-04-13T09:56:24Z,8,Reply
@suyashtrivedi6245,@darkbolt333 Thanks a lot. I guess I understand what you mean to say :) . I hope that one day I can become like you guys and goto onsite competitions :D,2020-04-22T11:50:50Z,0,Reply
@gena8414,"I am not red, but orange on Codeforces, but yeah, I try to prove every solution I get.",2021-12-14T09:04:56Z,2,Reply
@jarirahmed4537,"আমেরিকার ঠাকুরগাও অঞ্চলের আঞ্চলিক ইংরেজি ভাষা এটা।
Translation: Very Clear English.",2020-04-12T01:00:36Z,0,Main Comment
@jahidem,"It's much cooler with Russian accent, I understand him loud and clear.",2020-04-22T17:40:23Z,0,Reply
@ezi.2764,رائع,2020-04-11T17:12:40Z,0,Main Comment
@WrongDescription,"Can a person who is 30+ years of age, start solving?",2020-04-11T12:56:03Z,1,Main Comment
@Abhraneil_Bhattacharya,"Learning does not have an age brother, if you don't start you'll never go ahead",2020-04-12T21:17:06Z,0,Reply
@xylopsaaftuff,whats that book in the thumbnail eh?,2020-04-11T10:55:57Z,0,Main Comment
@CtrlAtControversy,"You are very helpful not like those @clement who only sees business
God bless you May youtube channel grow Andy reach to more people 😊",2020-04-10T17:41:04Z,0,Main Comment
@SyedRoshanZameer,I liked the way you said Practice!!!,2020-04-10T16:39:09Z,0,Main Comment
@vishalkhedekar6573,Practices,2020-04-10T11:44:12Z,0,Main Comment
@prakashkumar4659,"Hi errichto sir! 
I've just passed out my high school, please make video on what and how to start learning programming? Which programming language to start with, any prerequisite, etc 
Please help sir.. 🙏",2020-04-09T12:18:06Z,0,Main Comment
@bparanj,Write a hello world program. Any language is fine. Work through online tutorials or pickup a programming book and start studying and practicing code.,2020-05-07T05:11:47Z,0,Reply
@aryankhandelwal37,"Its been 1 year and I'm not even able to reach to blue  , still on cyan",2020-04-08T23:15:37Z,0,Main Comment
@user-gp8fr1nd3w,Hi! I have trouble with implementing and understanding recursive solutions on data structures like Trees (I understand and can implement simple recursion). I tried practicing and solving problems but I feel like I'm missing something.. Any tips specifically for that?,2020-04-08T06:36:19Z,1,Main Comment
@bparanj,I have started to record videos on Mastering Recursion. The video series is divided into three modules. Total of 40 problems. I provide a systematic way to solve recursive problems. No memorization is required. Today I uploaded my first video in the series: https://www.youtube.com/watch?v=aFvY_aZPmqk&t=1s,2020-05-07T04:49:06Z,0,Reply
@melancholy-engineering,"Hello Errichto, thanks for the video and channel itself, as I know almost all Red Coders did their problems in C++, but I just hate this language (for my personal reasons). Mb you know some top competitive programmers that achieve this goal without C++? I'd be really happy to know at least one of them.",2020-04-08T00:52:35Z,1,Main Comment
@vaishnavdixit3044,but C++ does gives faster runtimes,2022-07-28T19:19:31Z,0,Reply
@jayshree9037,"When I was stuck I wasted days.
Now i knew that we are allowed to look. I wasted a lot of time.
And your tips are awesome, let's hope the best for me
And yes the main advice is practice",2020-04-07T19:27:50Z,0,Main Comment
@noobCoder0909,Read the editorial and get the clue if got stuck :),2020-04-07T19:17:46Z,0,Main Comment
@ambarishbanerjee414,Best channel ever on programming,2020-04-07T03:31:16Z,0,Main Comment
@mustafareda3063,is there anyone else faced this problem ? many times I can't solve a problem because I can't get what it needs exactly :(,2020-04-06T22:08:17Z,0,Main Comment
@dhruvsingh6540,"Thanks, very helpful advice !",2020-04-06T18:41:17Z,0,Main Comment
@_rohit_s,"(Thank_for_giving_info) => {
return practice;}",2020-04-06T08:54:06Z,0,Main Comment
@hardsystem9522,"Errichto where are you working man, Google or?",2020-04-05T21:01:28Z,0,Main Comment
@PratikSalunkhe13,is it rated? :),2020-04-05T19:29:29Z,0,Main Comment
@neet4vip0721,0. Born as a high-IQ person.,2020-04-05T18:32:26Z,0,Main Comment
@ahsanfarooq210,Is there a reason why lot of competitive programmers choose c++,2020-04-05T17:59:48Z,0,Main Comment
@gono_bf1,because it's fast,2020-04-07T02:09:08Z,0,Reply
@سيفالشمري-ض1ث6و,Hi but what about that book ?,2020-04-05T16:32:29Z,0,Main Comment
@jubairnaim62,whenever i ask people how can i improve myself for contests they told me that just practice or solve problems bt they didn't told me how to learn... first part of the video was awesome boss...,2020-04-05T14:26:21Z,12,Main Comment
@SuperMarioTomma95,Ok but how do I become red without practice?,2020-04-05T11:46:27Z,0,Main Comment
@mohitthorat8580,I have read you need to solve thousands of problems to become red. Is it true?,2020-04-05T11:26:28Z,0,Main Comment
@7daysmma,"Good advice, many place where applicable.  Thanks",2020-04-05T09:33:14Z,0,Main Comment
@gustavogonzalez7707,There is no royal road to competitive programming,2020-04-04T23:06:51Z,0,Main Comment
@ankitkesar,"As a medium level programmer 
Should I worry about time and space complexity",2020-04-04T21:57:04Z,0,Main Comment
@bparanj,Yes.,2020-05-07T05:32:01Z,0,Reply
@zimeckus7639,3:40 Errichto.exe stopped working,2020-04-04T16:43:24Z,123,Main Comment
@vinhpham2205,"I really want to know more tips, i love this video.",2020-04-04T16:20:46Z,0,Main Comment
@ShengLUO,Should I worry about stack overflow when doing recursive dfs?,2020-04-04T14:46:12Z,0,Main Comment
@rishabhsharma2744,What are your views about this code jam,2020-04-04T14:44:07Z,0,Main Comment
@vaderasss,"You could just say practice or take at least one online course... but no, a lot will fall for it..",2020-04-04T14:38:10Z,0,Main Comment
@ritwik-chakraborty,Hai errictoto love from India...you are really a good coder...can you make one discord server for more helps of other coders...,2020-04-04T14:01:08Z,0,Main Comment
@skyhi8958,i see i will try hard To Become Red Coder thank you,2020-04-04T11:50:25Z,0,Main Comment
@tej7725,That English accent of yours is kinda cool,2020-04-04T09:55:59Z,0,Main Comment
@jaspreetsingh8980,How do you keep your thoughts organised? When i read a problem my thoughts start racing in my head. Is it the same with you sir?,2020-04-04T09:17:14Z,0,Main Comment
@bparanj,"This question is like asking a chess grandmaster how he plays blind fold chess. They are experts, they can hold all the information inside their head. Others have to use pen and paper to create a model of the problem.",2020-05-07T05:13:36Z,1,Reply
@anubhavsinghal9218,"I can never forget this April fool joke, it literally fucked me for a sec.",2020-04-04T06:23:57Z,0,Main Comment
@hiranmoychowdhury5843,can you make an video on Edmonds Algorithm??,2020-04-04T01:37:04Z,0,Main Comment
@eudisd,I love the awkward pauses and re-starts.  Keep up the great work!,2020-04-03T19:08:58Z,7,Main Comment
@cocoarecords,Thanks,2020-04-03T18:48:07Z,0,Main Comment
@__shaun_,"Codeforces(X)
Mathforces(O)",2020-04-03T18:43:10Z,0,Main Comment
@abulhasnattonmoy,please upload a video about your coding biography,2020-04-03T14:02:57Z,0,Main Comment
@nonamehere9658,"DOES EVERY RED CODER HAVE A TEDDY BEAR?!?!?! ANSWER PLEASE, SIR!!!111ONE",2020-04-03T12:45:19Z,0,Main Comment
@purushottamparakh5165,"Hi Erichto, My questions are : 1. How do you elaborate all the test cases. I always miss some test cases. 2. I always try to solve a problem totally based on previous experience and end up writing very complex codes, The solution might be very straightforward but I could never think anything out of box. That irritates me a lot. 3. Off-by-one error is a real problem I face. How do you resolve such problem.",2020-04-03T09:27:24Z,0,Main Comment
@bparanj,"Developing the ability to think out of the box comes from reading the code written by developers who can think out of the box and understanding that code. For off-by-one error, you already know where your weakness lies, its just a matter of practicing so that your skill level progresses from conscious incompetence to conscious competence and eventually unconscious competence.",2020-05-07T05:08:58Z,1,Reply
@mythorganizer4222,0:32 that helped me very much thanks bye bye :D,2020-04-03T06:04:05Z,0,Main Comment
@unstable_diffusion,Errichto is the only person who can fire Google,2020-04-03T04:03:15Z,0,Main Comment
@brooksgunn5235,"""I'm never joking"" but at 0:00 you said to ME ""Hello Programmers"", lol!",2020-04-03T03:33:24Z,254,Main Comment
@dsdcp,This is because the content is not for you.,2021-05-02T13:03:27Z,2,Reply
@brooksgunn5235,"@dsdcp It wasn't, but it is moreso today :)",2021-05-02T13:13:55Z,2,Reply
@dsdcp,Have you accomplished hello world succecefully?,2021-05-02T13:20:40Z,0,Reply
@brooksgunn5235,"@dsdcp No, it's difficult, but I'm working on it 😔",2021-05-02T14:34:20Z,0,Reply
@dsdcp,"@brooksgunn5235 Relex, sometime the thing will become part of you and then, voilá.",2021-05-02T21:06:40Z,1,Reply
@abdessalam8468,Please i need course c++,2020-04-03T00:11:39Z,0,Main Comment
@gorge9774,A mógłbyś zrobić poradniki po polsku ? 😅😃,2020-04-02T23:43:53Z,0,Main Comment
@MohamedRT,"Personally I loved the fourth tip, I think it relates most, and more effective!",2020-04-02T22:19:29Z,0,Main Comment
@DeepakYadav-rx2qg,"Hi Erichto,
I am currently working in an IT company. Will it be a good time for me to start competitive programing?",2020-04-02T21:31:57Z,0,Main Comment
@gorgono1,Tip #1: learn to code,2020-04-02T21:15:24Z,0,Main Comment
@damercy,Kamil's the best!,2020-04-02T19:26:47Z,0,Main Comment
@premkumars6510,"How to become red pranker! 
5 tips: 1) Don't say video is over in 1st min .. 2)to 5) Don't ask.",2020-04-02T18:49:07Z,0,Main Comment
@sherlock-z1d,What are your favorites books on C++ ?,2020-04-02T18:42:35Z,0,Main Comment
@anakinskywalkerrr,"Beside the good tips, keep the humor too bro lol",2020-04-02T17:46:56Z,0,Main Comment
@narayanbhat3279,I hardly see you laugh,2020-04-02T17:38:15Z,0,Main Comment
@abhishek-hb1vg,"Hey i have been following you for a while now. And what i have come to notice is that you r quiet a legend in the competitive reprogramming world.
 I am a selftaught programmer and currently iam doing an internship as a react developer. So i have started learning DS and Algorithm  but i didn't find a good website to practice using JavaScipt can you give some suggestion.",2020-04-02T17:22:36Z,1,Main Comment
@AMG-gc4io,I need someone to help about a program problem,2020-04-02T15:47:51Z,1,Main Comment
@zillboy,"Hah, I really thought he's gone!😂",2020-04-02T14:39:23Z,2,Main Comment
